year,quarter,store,net_sales_total,number_orders_total,delivery_sales,delivery_orders,dine_in_sales,dine_in_orders,to_go_sales,to_go_orders,pick_up_sales,pick_up_orders,discounts,percent_discount,ticket_average,web_app_net_sales_online,web_app_number_orders_online,web_app_ticket_avg_online,online_percent_online,number_on_time_deliveries,number_late_deliveries,x3rd_party_sales_total,x3rd_party_orders_total,dd_sales,dd_orders_door_dash,ue_sales,ue_orders,quarter_label,period
2023,1,1000 Hampton,624582.56,23585,180019.28,5493,111396.46,4262,72723.43,3715,260443.39,10115,62012.84,9.9,26.48,227409.9,7602,29.91,36.4,3655,1520,0,0,0,0,0,0,Q1,2023 Q1
2023,1,1st Capitol,349061.66,11281,200772.94,5478,15141.95,638,23795.69,1159,109351.08,4006,39842.29,11.4,30.94,192257.69,5561,34.57,55.1,3236,2027,34.52,2,34.52,2,0,0,Q1,2023 Q1
2023,1,5806 Hampton,286566.25,10749,188194.48,6590,0,0,10003.89,691,88367.88,3468,28112.89,9.8,26.66,164521.61,5632,29.21,57.4,5185,1254,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Affton,348621.07,13014,174839.2,5434,8962.07,443,19962.93,1226,144856.87,5911,45669.25,13.1,26.79,197573.02,6642,29.75,56.7,4574,639,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Arnold - El Lago,347008.51,10996,202152.63,5226,6483.55,271,16412.85,1216,121959.48,4283,48072.27,13.9,31.56,199095.95,5434,36.64,57.4,3941,1122,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Arnold - Jeffco,235821.09,8503,102157.1,2957,2497.4,117,16735.62,1119,114430.97,4310,29353.8,12.4,27.73,116810.03,3564,32.77,49.5,1653,1169,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Ballwin,165842.68,5641,91708.21,2771,0,0,7672.37,510,66462.1,2360,20755.07,12.5,29.4,94204.69,2860,32.94,56.8,2232,400,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Belleville East,281978.92,9356,159899.1,4471,0,0,9640.67,574,112439.15,4311,27331.34,9.7,30.14,162748.71,4908,33.16,57.7,3659,657,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Belleville West,275056.33,9717,143609.28,4061,1781.42,98,23863.33,1333,105802.3,4225,25177.52,9.2,28.31,139059.52,4351,31.96,50.6,3116,804,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Bel-Ridge,259562.01,9469,128605.36,3711,0,0,34246.92,1908,96709.73,3850,31479.76,12.1,27.41,94882.54,3061,31,36.6,1623,1995,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Bridgeton,519891.51,18009,315592.45,8908,7796.75,436,41465.03,2312,155037.28,6353,54755.77,10.5,28.87,250648.17,7261,34.52,48.2,6970,1204,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Cahokia,232333.3,8246,103008.41,2864,799.27,47,22896.83,1307,105628.79,4028,32336.61,13.9,28.18,92623,2866,32.32,39.9,2169,575,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Cape Girardeau,250784.44,10337,90654.4,2824,29530.48,1510,20921.9,1411,109677.66,4592,39637.94,15.8,24.26,117224.34,4215,27.81,46.7,1781,898,10704.99,425,10704.99,425,0,0,Q1,2023 Q1
2023,1,Chambers,358897.65,12493,93373.16,2499,0,0,12775.46,807,252749.03,9187,27496.48,7.7,28.73,160255.16,5231,30.64,44.7,1465,989,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Cherokee,355521.28,12830,216605.33,6771,0,0,28913.5,1626,110002.45,4433,32285.26,9.1,27.71,163633.01,5379,30.42,46,5955,677,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Chesterfield - Clarkson,279333.68,9528,142008.36,4085,16258.71,765,15148.92,857,105917.69,3821,32652.15,11.7,29.32,135311.56,3845,35.19,48.4,2662,1117,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Chesterfield - Wildhorse Creek,67973.93,1972,31366.11,589,0,0,6471.33,404,30136.49,979,4943.54,7.3,34.47,32995.37,770,42.85,48.5,288,246,0,0,0,0,0,0,Q1,2023 Q1
2023,1,City Plaza,285415.19,9910,140985.41,3810,0,0,62205.62,3087,82224.16,3013,30433.08,10.7,28.8,76834.89,2261,33.98,26.9,2511,1239,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Clayton,252480.11,7353,156220.75,3578,0,0,13892.62,859,82366.74,2916,18069.38,7.2,34.34,163122.11,4259,38.3,64.6,2672,583,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Collinsville,430397.15,15610,196230.81,5430,54949.63,2534,39248.76,2365,139967.95,5281,43180.78,10,27.57,200844.47,6094,32.96,46.7,4818,463,0,0,0,0,0,0,Q1,2023 Q1
2023,1,Columbia IL,379300.06,13927,145986.41,4158,45575.84,2530,9496.12,556,178241.69,6683,47801.86,12.6,27.23,171837.54,5353,32.1,45.3,3314,636,0,0,0,0,0,0,Q1,2023 Q1
